,result,eco,move_no,avg_rating
649,1,245,73,1777
650,-1,40,58,1651
651,1,40,83,1805
652,-1,222,98,1415
653,1,120,29,1610
654,1,4,55,1565
655,1,43,65,1566
656,1,122,35,1550
657,-1,45,124,1582
658,1,300,43,1246
659,-1,244,24,1636
660,-1,220,124,1281
661,1,3,63,1566
662,-1,0,44,1497
663,1,310,81,1467
664,1,200,31,1497
665,-1,4,80,1566
666,1,244,49,1625
667,0,4,132,1288
668,1,224,125,1625
669,-1,106,46,1415
670,1,100,39,1529
671,1,220,83,1316
672,-1,100,120,1700
673,1,100,51,1776
674,0,128,132,1556
675,1,101,67,1280
676,1,300,147,1436
677,-1,112,56,1671
678,-1,223,70,1502
679,1,1,69,1505
680,-1,262,68,1509
681,1,234,85,1831
682,1,0,73,1354
683,1,241,109,1382
684,1,120,45,1671
685,1,220,35,1507
686,-1,234,120,1521
687,1,300,113,1515
688,-1,107,60,1699
689,1,244,37,1335
690,1,241,39,1670
691,-1,200,48,1420
692,1,156,57,1719
693,1,121,97,1341
694,1,132,69,1506
695,1,240,113,1678
696,-1,121,90,1502
697,1,245,53,1604
698,-1,40,12,1578
699,-1,120,60,1570
700,-1,253,28,1341
701,0,103,93,1719
702,1,250,81,1797
703,1,132,59,1585
704,0,130,69,1585
705,-1,0,62,1446
706,-1,0,104,1565
707,-1,224,54,1624
708,-1,223,42,1502
709,1,100,75,1515
710,-1,120,40,1478
711,-1,357,78,1864
712,1,200,149,1564
713,1,120,53,1580
714,1,234,81,1780
715,-1,241,62,1645
716,1,0,141,1383
717,1,106,47,1771
718,1,110,141,1663
719,1,241,47,1469
720,-1,101,58,1236
721,-1,106,42,1529
722,1,255,97,1519
723,-1,140,24,1858
724,0,202,67,1385
725,-1,220,96,1398
726,-1,200,54,1742
727,1,200,79,1630
728,-1,223,108,1671
729,-1,241,116,1523
730,1,200,131,1827
731,-1,226,32,1636
732,-1,265,62,1337
733,1,226,67,1674
734,1,243,45,1725
735,-1,259,48,1677
736,-1,211,116,1774
737,-1,250,14,1647
738,-1,120,44,1574
739,-1,20,46,1422
740,-1,220,64,1574
741,-1,247,70,1591
742,1,106,97,1453
743,1,257,29,1666
744,-1,100,90,1550
745,-1,240,66,1303
746,1,241,109,1204
747,-1,300,78,1525
748,-1,101,110,1609
749,1,202,29,1529
750,-1,241,76,1618
751,1,121,75,1840
752,1,150,39,1479
753,1,250,59,1555
754,1,246,61,1738
755,1,460,67,1254
756,1,224,61,1616
757,1,140,29,1444
758,1,330,79,1506
759,1,250,37,1617
760,1,0,53,1505
761,-1,257,20,1789
762,1,222,79,1608
763,1,220,89,1522
764,1,255,105,1318
765,-1,1,82,1620
766,-1,220,64,1432
767,1,100,51,1839
768,1,400,77,1609
769,-1,240,46,1414
770,1,235,47,1695
771,-1,101,54,1541
772,-1,300,46,1429
773,-1,22,112,1638
774,1,20,27,1417
775,-1,120,50,1566
776,1,242,55,1645
777,1,250,19,1757
778,-1,241,122,1416
779,1,265,65,1668
780,1,43,39,1638
781,1,241,117,1494
782,0,40,150,1473
783,-1,110,96,1455
784,1,100,49,1458
785,-1,240,66,1239
786,0,11,126,1432
787,-1,244,44,1451
788,-1,22,150,1638
789,-1,264,86,1698
790,1,50,121,1650
791,0,222,122,1586
792,1,0,37,1416
793,1,101,79,1335
794,1,241,31,1756
795,1,300,43,1887
796,-1,41,98,1333
797,-1,0,70,1391
798,-1,307,18,1469
799,-1,0,86,1521
800,-1,255,128,1762
801,1,240,137,1894
802,-1,11,66,1411
803,1,224,45,1439
804,1,302,103,1442
805,-1,261,136,1592
806,1,0,57,1869
807,-1,200,92,1642
808,1,225,121,1488
809,-1,200,100,1408
810,1,222,39,1586
811,1,120,53,1451
812,-1,225,28,1596
813,1,227,123,1596
814,-1,245,48,1449
815,1,220,85,1382
816,1,43,75,1539
817,1,302,89,1672
818,1,200,65,1528
819,-1,307,120,1614
820,-1,220,96,1672
821,1,241,63,1355
822,-1,320,116,1510
823,-1,264,50,1705
824,1,302,73,1513
825,-1,270,34,1751
826,-1,300,128,1518
827,-1,0,58,1353
828,1,300,49,1372
829,-1,330,98,1545
830,1,40,43,1644
831,-1,121,104,1618
832,1,255,83,1608
833,1,100,37,1579
834,1,0,47,1332
835,-1,200,98,1609
836,1,102,11,1202
837,1,10,67,1330
838,1,100,81,1380
839,1,101,69,1608
840,1,220,87,1499
841,-1,120,48,1412
842,-1,4,50,1437
843,1,40,89,1499
844,-1,45,66,1381
845,-1,243,106,1465
846,-1,0,102,1324
847,1,320,77,1511
848,1,0,67,1382
849,1,241,123,1351
850,1,144,85,1580
851,-1,326,116,1383
852,1,242,101,1515
853,1,110,133,1628
854,-1,305,98,1498
855,0,246,80,1384
856,0,246,81,1384
857,0,246,82,1384
858,0,246,83,1384
859,0,246,84,1384
860,0,246,85,1384
861,0,246,86,1384
862,0,246,87,1384
863,0,246,88,1384
864,0,246,89,1384
865,0,246,93,1384
866,0,246,94,1384
867,0,246,95,1384
868,0,246,118,1384
869,0,246,119,1384
870,0,246,120,1384
871,0,246,121,1384
872,0,246,122,1384
873,0,246,123,1384
874,0,246,127,1384
875,0,246,128,1384
876,0,246,129,1384
877,1,241,65,1444
878,0,220,118,1627
879,-1,227,52,1480
880,-1,0,22,1847
881,-1,100,62,1519
882,-1,220,38,1468
883,1,240,61,1473
884,1,43,59,1498
885,1,101,95,1486
886,-1,222,50,1263
887,1,240,97,1500
888,1,400,69,1574
889,-1,226,82,1591
890,-1,222,106,1276
891,-1,102,70,1656
892,1,231,43,1725
893,1,226,99,1448
894,1,301,55,1150
895,-1,224,52,1738
